SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/018/0022/02,902 Oudekraal,,Table Mountain,Table Mountain,,,
9/2/018/0022/02/1,"Portion 3 of Farm 902, Oudekraal (White House Site), Table Mountain Chain",,Table Mountain,Table Mountain,,,
