SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/094/0011,"TULBAGH MUNICIPAL AREA, GENERAL",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0017,"Mission Station, Saron, Tulbagh District",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0020,"Jackson's Cottage, Drostdy Village, Tulbagh District",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0022/1,"Brandy still, Schoonderzicht, Tulbagh District",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0037,"SARON, TULBAGH DISTRICT, GENERAL",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0048,"TULBAGH MAGISTERIAL DISTRICT, GENERAL",,Tulbagh,Tulbagh,National Monument,,
9/2/094/0049,"WOLSELEY LOCAL AREA, GENERAL",,Wolseley,Tulbagh,,,
9/2/094/0050,"GOUDA LOCAL AREA, GENERAL",,Gouda,Tulbagh,,,
9/2/094/0052,"33 Church Street, Erf 106, Tulbagh",,Tulbagh,Tulbagh,National Monument,-33.284517, 19.138441
