SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/111/0144,"Old Organ (1897), Moravian Church, Bridgetown, Athlone",,Athlone,Wynberg,,,
9/2/111/0145,"Bishops Court, Newlands Wynberg District",,Newlands,Wynberg,,,
9/2/111/0146,"Kelvin Grove, Campground Road, Newlands",,Newlands,Wynberg,,-33.971160, 18.470215
9/2/111/0147,"Fernwood Newlands, Wynberg District",,Wynberg,Wynberg,,-33.979224, 18.446574
9/2/111/0148,"NYANGA/CROSSROADS LOCAL AREA, GENERAL",,Nyanga,Wynberg,,,
9/2/111/0149,"Historic Oak Avenue, Erf 4029, Hout Bay",,Hout Bay,Wynberg,,,
9/2/111/0151,"Springfield Convent Complex, Wynberg",,Wynberg,Wynberg,,-34.002813, 18.457587
9/2/111/0152,"Evangelical Lutheran Church, Philippi, Wynberg District",,Wynberg,Wynberg,,,
9/2/111/0153,"Burial Vaults, cnr Bishoplea and Feldhausen, Claremont",,Claremont,Wynberg,,-33.982194, 18.459545
9/2/111/0154,"Battswood School Complex, Wynberg",,Wynberg,Wynberg,,-34.011908, 18.502622
9/2/111/0155,"Maynardville, Block bounded by Wolfe, Church, Glaven and Piers Streets, Wynberg",,Wynberg,Wynberg,,-34.005659, 18.465706
9/2/111/0156,"House Raynham, 16 Boshof Avenue, Newlands",,Newlands,Wynberg,,-33.980380, 18.447697
9/2/111/0157,"Wynberg Relief Road, Wynberg District",,Wynberg,Wynberg,,,
9/2/111/0158,"Langa Local Area, General",,Langa,Wynberg,,,
9/2/111/0159,"Kramat, Erf 2610, Islam Hill, Constantia",,Constantia,Wynberg,,,
9/2/111/0160,"PLUMSTEAD LOCAL AREA GENERAL, WYNBERG DISTRICT",,Plumstead,Wynberg,,,
9/2/111/0161,"KHAYELITSHA LOCAL AREA GENERAL, WYNBERG DISTRICT",,Khayelitsha,Wynberg,,,
9/2/111/0162,"PHILIPPI LOCAL AREA GENERAL, WYNBERG DISTRICT",,Philippi,Wynberg,,,
