SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/056/0019,"Hoffland House, Church Street, Ladismith",,Ladismith,Ladismith,,,
9/2/056/0017,"Seweweekspoort, Ladismith District",,Ladismith,Ladismith,,-33.400246, 21.400005
9/2/056/0016,"Birthplace of C J Langenhoven, Hoeko, Ladismith District",,Ladismith,Ladismith,,,
9/2/056/0012,"Fossil site, Besemfontein, Ladismith District",,Ladismith,Ladismith,,,
9/2/056/0010/4,"Lutheran Church Offices, Church Street, Ladismith",,Ladismith,Ladismith,National Monument,,
9/2/056/0010/3,"Lutheran Church Hall, Church Street, Ladismith",,Ladismith,Ladismith,National Monument,,
9/2/056/0010/2,"Old Lutheran Church Parsonage, Church Street, Ladismith",,Ladismith,Ladismith,National Monument,,
9/2/056/0010/1,"Lutheran Church, Church Street, Ladismith",,Ladismith,Ladismith,National Monument,,
9/2/056/0009/2,"Cemetery, Amalienstein Mission Complex, Ladismith District",,Ladismith,Ladismith,,,
9/2/056/0009/1,"Lutheran Church Building, Amalienstein, Ladismith District",,Ladismith,Ladismith,,,
9/2/056/0008,"Town Cemetery, Van Wyksdorp, Ladismith",,Van Wyksdorp,Ladismith,,,
9/2/056/0007,"Van Wyksdorp Military Graves, Van Wyksdorp",,Van Wyksdorp,Ladismith,,,
9/2/056/0005/1,"Grave in churchyard of Anglican Church, Ladismith",,Ladismith,Ladismith,,,
9/2/056/0005,"Anglican Church, Ladismith",,Ladismith,Ladismith,,,
9/2/056/0003,"LADISMITH MUNICIPAL AREA, GENERAL",,Ladismith,Ladismith,,,
9/2/056/0002,"76 Albert Street, Ladismith",,Van Wyksdorp,Ladismith,,-33.492827, 21.269296
9/2/056/0001,"Olyve River, Van Wyksdorp, Ladismith District",,Ladismith,Ladismith,,,
9/2/054/0009,KRAAIFONTEIN LOCAL AREA,,Kraaifontein,Kuils River,,,
9/2/054/0008,"BRACKENFELL LOCAL AREA, GENERAL",,Brackenfell,Kuils River,,,
9/2/054/0007,"KUILS RIVER MAGISTERIAL DISTRICT, GENERAL",,Kuils River,Kuils River,,,
9/2/054/0006,"Leeuwenhof, 6 Bosman Street, Kuils River",,Kuils River,Kuils River,,-33.921108, 18.677412
9/2/054/0002,"Saxenbug, Kuils River District",,Kuils River,Kuils River,,-33.946733, 18.718783
9/2/054/0001,"KUILS RIVER MUNICIPAL AREA, GENERAL",,Kuils River,Kuils River,,,
9/2/042/0017,"Fossilised Footprints, Langebaan Lagoon",,Langebaan,Hopefield,,,
9/2/042/0016,"Elandsfontein Farm, Hopefield District",,Hopefield,Hopefield,,-33.094291, 18.202092
9/2/042/0015,"Oude Post 11, Hopefield District",,Hopefield,Hopefield,Pending Declaration,,
9/2/042/0013,"Oude Post Fortfication, Langebaan Lagoon, Hopefield District",,Hopefield,Hopefield,Pending Declaration,,
9/2/042/0012,"Langrietvlei, Hopefield District",,Hopefield,Hopefield,National Monument,-32.873183, 18.224445
9/2/042/0011/1,"Coastal archaeology, Hopefield District",,Hopefield,Hopefield,,,
9/2/042/0011,"HOPEFIELD MAGISTERIAL DISTRICT, GENERAL",,Hopefield,Hopefield,,,
9/2/042/0007,"Meeuwenklip, Egret Street, Langebaan, Hopefield District",,Langebaan,Hopefield,,,
9/2/042/0005/1,"Cemetery, Old Whaling Station, Salamander Bay, Hopefield District",,Salamander Bay,Hopefield,,,
9/2/042/0005,"Old Whaling Station, Salamander Bay, Hopefield District",,Salamander Bay,Hopefield,,,
9/2/042/0004,"HOPEFIELD MUNICIPAL AREA, GENERAL",,Hopefield,Hopefield,,,
9/2/042/0003,"LANGEBAAN MUNICIPAL AREA, GENERAL",,Langebaan,Hopefield,,,
9/2/042/0002,"Bottelary, West Coast National Park, Langebaan, Hopefield District",,Langebaan,Hopefield,,-33.133218, 18.100087
9/2/042/0001/2,"VOC Beacon, Geelbek, Hopefield District",,Geelbek,Hopefield,National Monument,,
9/2/042/0001/1,"Farmstead, Geelbek, Hopefield District",,Geelbek,Hopefield,National Monument,-33.194336, 18.125258
9/2/042/0001,"Geelbek, Hopefield District",,Geelbek,Hopefield,,-33.195336, 18.123284
9/2/040/0023,"HAWSTON LOCAL AREA, GENERAL",,Hawston,Hermanus,,,
9/2/040/0022,"Site of Leper Colony, Hemel-en-aarde, Hermanus District",,Hemel-en-aarde,Hermanus,,,
9/2/040/0021,"GANSBAAI MUNICIPAL AREA, GENERAL",,Gansbaai,Hermanus,,,
9/2/040/0020,"Godfrey cottages, Erven 822, 6190 & 6191, Hermanus",,Hermanus,Hermanus,Pending Declaration,,
9/2/040/0019,"Old Whaling Station, Stony Point, Betty's Bay, Hermanus District",,Betty's Bay,Hermanus,,-34.371434, 18.893007
9/2/040/0018,"ONRUSRIVIER LOCAL AREA, GENERAL",,Onrusrivier,Hermanus,,,
9/2/040/0017,"Proposed Birkenhead Memorial Tablet, Hawston, Hermanus District",,Hawston,Hermanus,,,
