SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/013/0027,"L'AGULHAS LOCAL AREA, BREDASDORP DISTRICT, GENERAL",,L'Agulhas,Bredasdorp,,,
9/2/013/0026,"STRUISBAAI LOCAL AREA, BREDASDORP DISTRICT, GENERAL",,Struisbaai,Bredasdorp,,,
9/2/013/0025,"Old Police Station & gaol, 16 Hope Street, Bredasdorp",,Bredasdorp,Bredasdorp,,,
9/2/013/0020/2,"Melkkamer, De Hoop Nature Reserve, Bredasdorp District",,Bredasdorp,Bredasdorp,Pending,,
9/2/013/0020,"De Hoop Nature Reserve, Bredasdorp District",,Bredasdorp,Bredasdorp,,-34.422266,20.545407
9/2/013/0016,"Ratel Rivier, Buffel Jagd, Bredasdorp District",,Bredasdorp,Bredasdorp,,,
9/2/013/0015,"Burial site of Birkenhead casualties, Danger Point, Bredasdorp",,Danger Point,Bredasdorp,,,
9/2/013/0014,"ELIM VILLAGE, BREDASDORP DISTRICT, GENERAL",,Elim,Bredasdorp,,,
9/2/013/0013,"NAPIER MUNICIPAL AREA, GENERAL",,Napier,Bredasdorp,,,
9/2/013/0012,"St. Saviours Anglican Church, Napier, Bredasdorp District",,Bredasdorp,Bredasdorp,Demolished,,
9/2/013/0010,"Alfred Dowling Building, Bredasdorp",,Bredasdorp,Bredasdorp,,,
9/2/013/0009,"25 Church Street, Bredasdorp",,Bredasdorp,Bredasdorp,,-34.534033,20.040379
9/2/013/0006,"Proposed memorial for the East Indiaman ""Arniston""",,Arniston,Bredasdorp,,,
9/2/013/0003,"BREDASDORP MUNICIPAL AREA, GENERAL",,Bredasdorp,Bredasdorp,,,
9/2/013/0001/3,"5 Fishermen's Cottages, Hotagterklip, Struis Bay, Bredasdorp District",,Struisbaai,Bredasdorp,,,
9/2/013/0001,"Fishermen's Cottages, Hotagterklip, Struis Bay, Bredasdorp District",,Struisbaai,Bredasdorp,,,
